objectid,title,format,filename,creator,description,subject,location,latitude,longitude,date
item1,Appetites: A Cookbook,image/jpeg,appetites.jpg,"Bourdain, Anthony;Woolever, Laurie","Written with the no-holds-barred ethos of his beloved series, No Reservations and Parts Unknown, the celebrity chef and culinary explorer’s first cookbook in more than ten years—a collection of recipes for the home cook.

Anthony Bourdain is a man of many appetites. And for many years, first as a chef, later as a world-traveling chronicler of food and culture on his CNN series Parts Unknown, he has made a profession of understanding the appetites of others. These days, however, if he’s cooking, it’s for family and friends.

Appetites, his first cookbook in more than ten years, boils down forty-plus years of professional cooking and globe-trotting to a tight repertoire of personal favorites—dishes that everyone should (at least in Mr. Bourdain’s opinion) know how to cook. Once the supposed ""bad boy"" of cooking, Mr. Bourdain has, in recent years, become the father of a little girl—a role he has embraced with enthusiasm. After years of traveling more than 200 days a year, he now enjoys entertaining at home. Years of prep lists and the hyper-organization necessary for a restaurant kitchen, however, have caused him, in his words, to have ""morphed into a psychotic, anally retentive, bad-tempered Ina Garten.""

The result is a home-cooking, home-entertaining cookbook like no other, with personal favorites from his own kitchen and from his travels, translated into an effective battle plan that will help you terrify your guests with your breathtaking efficiency.

Source: Publisher",salads; soups; sandwiches; appetizers; pasta; fish; seafood; poultry; meat; side dishes; main dishes; dessert; sauces; dressings,"New York City, New York",40.7128,74.2179,2016
item2,Bake Club: 101 Must-Have Moves for Your Kitchen,image/jpeg,bakeclub.jpeg,"Tosi, Christina;Salzano, Shannon","From the James-Beard Award-winning chef, New York Times best-selling author, host of Bake Squad, and founder of Milk Bar comes a collection of 100-plus unfussy, oh-so-good sweet and savory recipes inspired by the hit online community Bake Club. Recipes are a mix of the online bake club’s greatest hits as well as all-new future classics.

Newbies and seasoned pros, ages ten through one hundred, rule-followers and adventure-seekers alike: Christina Tosi's Bake Club is open to everyone. Covering all corners of the baking universe—from English Muffins to Glazed Pumpkin Pie Bars, Gummy Bears to Crème Brulée—these are recipes designed to empower home bakers to have fun in the kitchen and to dispel all baking misconceptions: I don’t have enough time, I don’t have the right ingredients, I don’t have a standing mixer, and I’m a terrible baker. That means no fancy ingredients or equipment are required—and modifications are very much allowed!

Contains nostalgia-inducing recipes for baked goods of all sorts, such as:
Cinnamon Buns with Brown Sugar GooHomemade Pop RocksCheddar-Old Bay PopcornChocolate Peanut Butter Crunch PieApple Cider Donut Bundt CakeMint Chip Sammies
Disarmingly doable yet show-stoppingly impressive, the 100-plus recipes that make up Bake Club are classic Tosi creations—simple, inviting, and eminently bakeable.
Source: Publisher",baking; desserts; snacks; confections; bread,"New York City, New York",40.7128,74.2179,2024
item3,Bake Smart: Sweets and Secrets from My Oven to Yours,image/jpeg,bakesmart.jpg,"Seneviratne, Samantha","Critically acclaimed baking expert and media star Samantha Seneviratne dispels common baking myths and fears—and shares 100 of her favorite irresistible recipes.

Star baker Samantha Seneviratne wants to tell you the baking secrets of industry pros: You can soften butter in a microwave in seconds, without melting it. Don’t bother sifting flour. No stand mixer? No problem—you can mix it by hand. Test the doneness of a cake without toothpicks (who actually has those?). Make a custard with a dump and stir method. Tempering schmempering.

Break free from common baking myths, fears, and unnecessarily fussy procedures, with Bake Smart, filled with Sam’s tips and warm reassurances plus 100 stunning, mouth-watering recipes that are surprisingly achievable for any home baker. Chapters are organized by main baking ingredient (Butter; Sugar; Eggs; Flour, Nuts & Cocoa; and Yeast), each starting with a quick intro to break down the fundamentals of baking, as well as core recipes—like Basic Custard, Any-Nut Frangipane, and Rough Puff Pastry—that are easy to master and return to again and again.

And each chapter includes recipes for delicious, modern-yet-timeless sweets.

Source: Publisher",baking; desserts; snacks; confections; pastry,"Brooklyn, New York",40.6782,73.9442,2023
item4,Breadsong: How Baking Changed our Lives,image/jpeg,breadsong.jpg,"Tate, Kitty;Tate, Al","A cookbook full of heart that explores the redemptive power of baking. Featuring more than 80 recipes—including cinnamon buns, cheese swirls, and tahini brownies—Breadsong is a celebration of bread and baking, and an inspiring story of the life-saving power of discovering a passion.",baking; bread; sourdough; desserts,"Watlington, England",51.6434,1.0066,2022
item5,Cherrybombe: The Cookbook,image/jpeg,cherrybombe.jpg,"Diamond, Kerry; Wu, Claudia","Recipes & stories from 100 of the most creative and inspiring women in food today

It’s the first-ever cookbook from the team behind Cherry Bombe, the hit indie magazine about women and food, and the Radio Cherry Bombe podcast. Inside are 100+ recipes from some of the most interesting chefs, bakers, food stylists, pastry chefs, and creatives on the food scene today, including:
 
Mashama Bailey, chef of The Grey
Jeni Britton Bauer, founder of Jeni’s Splendid Ice Creams
Melissa Clark, New York Times columnist and cookbook author
Amanda Cohen, chef/owner of Dirt Candy
Angela Dimayuga, executive chef of Mission Chinese Food
Melissa & Emily Elsen, founders of Four & Twenty Blackbirds
Karlie Kloss, supermodel and cookie entrepreneur 
Jessica Koslow, chef/owner of Sqirl
Padma Lakshmi, star of Top Chef
Elisabeth Prueitt, pastry chef and co-founder of Tartine and Tartine Manufactory 
Chrissy Teigen, supermodel and bestselling cookbook author
Christina Tosi, chef and founder of Milk Bar
Joy Wilson, of Joy the Baker
Molly Yeh, of my name is yeh
 
The Cherry Bombe team asked these women and others for their most meaningful recipes. The result is a beautifully styled and photographed collection that you will turn to again and again in the kitchen. 

Source: Publisher",main dishes; desserts; side dishes; fish; seafood; vegetables; cocktails; salads; meat; poultry; pasta,"Brooklyn, New York",40.6782,73.9442,2017
item6,Ottolenghi Comfort,image/jpeg,comfort.jpg,"Ottolenghi, Yotam","The New York Times bestselling author of Ottolenghi Flavor reimagines comfort food with over 100 global, personal recipes.

Yotam Ottolenghi—the beloved chef who has captured the hearts of homecooks looking for inspiration and great-tasting cooking—is back. In Ottolenghi Comfort, he brings his inspiring, flavor-forward cooking to comfort dishes.

With game-changing low-lift recipes as well as recipes to spend an afternoon on, Ottolenghi Comfort presents creative dishes that are comfortable to both cook and eat. In more than 100 recipes, Ottolenghi—and co-authors Helen Goh, Verena Lochmuller, and Tara Wigley—bring together childhood memories and travels around the world, celebrating food and friends and the connections they build together, ones to pass on from generation to generation.

For Ottolenghi, a bowl of pasta becomes Caramelized Onion Orecchiette with Hazelnuts & Crispy Sage, a warming soup is Cheesy Bread Soup with Savoy Cabbage & Cavolo Nero, and potatoes are transformed into Garlicky Aligot Potato with Leeks & Thyme. In Comfort, he tackles everything from crepes to hummus; lamb meatloaf to quick ramen; savory rugelah to chocolate mousse.

This is a book filled with meals that are easy and exciting, familiar and fresh, new and nostalgic, revelatory yet reassuring.
Source: Publisher",breakfast; soup; salads; pasta; bread; dessert; dips; spreads; pastry; Middle Eastern; rice; vegetables; side dishes; main dishes; appetizers; meat; poultry; fish,"London, England",51.5072,0.1276,2024
item7,Ottolenghi Test Kitchen: Extra Good Things,image/jpeg,extragoodthings.jpg,"Ottolenghi, Yotam; Murad, Noor; Ottolenghi Test Kitchen","Flexible, flavour-packed dishes that all lend a little something 'extra' to your next meal.

It's harissa butter on a roasted mushroom, then tossed with steamed veg or stuffed into a baked potato. It's tamarind dressing on turmeric fried eggs, then drizzled over a steak the next day. Rounded off with a chapter on the 'one basics' of desserts for you to perfect and then adapt with your favourite flavour combinations, such as a basic mousse transformed into coffee mousse with tahini fudge.

This is cooking it forward, Ottolenghi style, filling your cupboards with adaptable homemade ingredients to add some oomph to every mealtime.",sauces; condiments; pickles; dressings; desserts; salads; main dishes; appetizers; baking; vegetables; Middle Eastern; pasta; side dishes; poultry; fish; meat; ,"London, England",51.5072,0.1276,2022
item8,"Ivan Ramen: Love, Obsession, and Recipes from Tokyo's Most Unlikely Noodle Joint",image/jpeg,ivanramen.jpg,"Orkin, Ivan; Ying, Chris","The end-all-be-all guide to ramen as told by the iconoclastic New Yorker whose unlikely life story led him to open Tokyo’s top ramen shop—featuring 44 recipes!

“What Ivan Orkin does not know about noodles is not worth knowing.”—Anthony Bourdain

While scores of people line up outside American ramen powerhouses like Momofuku Noodle Bar, chefs and food writers in the know revere Ivan Orkin's traditional Japanese take on ramen. Ivan Ramen chronicles Orkin's journey from dyed-in-the-wool New Yorker to the chef and owner of one of Japan's most-loved ramen restaurants, Ivan Ramen. His passion for ramen is contagious, his story fascinating, and his recipes to-die-for, including the complete, detailed recipe for his signature Shio Ramen, master recipes for the fundamental types of ramen, and some of his most popular ramen variations.

Likely the only chef in the world with the knowledge and access to convey such a candid look at Japanese cuisine to a Western audience, Orkin is perfectly positioned to author what will be the ultimate English-language overview on ramen and all of its components. Ivan Ramen will inspire you to forge your own path, give you insight into Japanese culture, and leave you with a deep appreciation for what goes into a seemingly simple bowl of noodles.
Source: Publisher",ramen; noodles; Asian; Japanese; side dishes; dessert,"Tokyo, Japan",35.6764,139.65,2013
item9,Izakaya: The Japanese Pub Cookbook,image/jpeg,izakaya.jpg,"Robinson, Mark","Japanese pubs, called izakaya, are attracting growing attention in Japan and overseas. As a matter of fact, a recent article in The New York Times claimed that the izakaya is ""starting to shove the sushi bar off its pedestal."" While Japan has many guidebooks and cookbooks, this is the first publication in English to delve into every aspect of a unique and vital cornerstone of Japanese food culture.

A venue for socializing and an increasingly innovative culinary influence, the izakaya serves mouth-watering and inexpensive small-plate cooking, along with free-flowing drinks. Readers of this essential book will be guided through the different styles of establishments and recipes that make izakaya such relaxing and appealing destinations. At the same time, they will learn to cook many delicious standards and specialties, and discover how to ""design"" a meal as the evening progresses.

Eight Tokyo pubs are introduced, ranging from those that serve the traditional Japanese ""comfort foods"" such as yakitori (barbequed chicken), to those offering highly innovative creations. Some of them have long histories; some are more recent players on the scene. All are quite familiar to the author, who has chosen them for the variety they represent: from the most venerated downtown pub to the new-style standing bar with French-influenced menu. Mark Robinson includes knowledgeable text on the social and cultural etiquette of visiting izakaya, so the book can used as a guide to entering the potentially daunting world of the pub. Besides the 60 detailed recipes, he also offers descriptions of Japanese ingredients and spices, a guide to the wide varieties of sake and other alcoholic drinks that are served, ""how-to"" advice on menu ordering, and much more.

For the home chef, the hungry gourmet, the food professional, this is more than a cookbook. It is a unique peek at an important and exciting dining and cultural phenomenon.",izakaya; Asian; Japanese; main dishes; side dishes; appetizers; fish; seafood; meat; poultry; pickles; condiments,"Tokyo, Japan",35.6764,139.65,2012
item10,Jamie at Home: Cook Your Way to the Good Life,image/jpeg,jamieathome.jpg,"Oliver, Jamie","Jamie Oliver presents this no-nonsense guide to simple cooking with great flavours all year round. He finds inspiration from his vegetable patch at home and includes 100 new recipes, plus some basic planting information and tips.",main dishes; salads; vegetables; poultry; game meat; meat; fish; seafood; dessert; pizza; soups; cocktails; pasta; condiments; pastry,"London, England",51.5072,0.1276,2010
item11,"Japanese Soul Cooking: Ramen, Tonkatsu, Tempura, and More from the Streets and Kitchens of Tokyo and Beyond",image/jpeg,japanesesoul.jpg,"Ono, Tadashi","A collection of more than 100 recipes that introduces Japanese comfort food to American home cooks, exploring new ingredients, techniques, and the surprising origins of popular dishes like gyoza and tempura. 

Move over, sushi. It’s time for gyoza, curry, tonkatsu, and furai. These icons of Japanese comfort food cooking are the hearty, flavor-packed, craveable dishes you’ll find in every kitchen and street corner hole-in-the-wall restaurant in Japan.

In Japanese Soul Cooking, Tadashi Ono and Harris Salat introduce you to this irresistible, homey style of cooking. As you explore the range of exciting, satisfying fare, you may recognize some familiar favorites, including ramen, soba, udon, and tempura. Other, lesser known Japanese classics, such as wafu pasta (spaghetti with bold, fragrant toppings like miso meat sauce), tatsuta-age (fried chicken marinated in garlic, ginger, and other Japanese seasonings), and savory omelets with crabmeat and shiitake mushrooms will instantly become standards in your kitchen as well. With foolproof instructions and step-by-step photographs, you’ll soon be knocking out chahan fried rice, mentaiko spaghetti, saikoro steak, and more for friends and family.

Ono and Salat’s fascinating exploration of the surprising origins and global influences behind popular dishes is accompanied by rich location photography that captures the energy and essence of this food in everyday life, bringing beloved Japanese comfort food to Western home cooks for the first time.

Source: Publisher",ramen; noodles; Asian; Japanese; street food; soups; meat; seafood; poultry; main dishes; appetizers,"New York City, New York",40.7128,74.2179,2013
item12,Kitchen Heaven,image/jpeg,kitchenheaven.jpg,"Ramsay, Gordon; Sargeant, Mark","With over 100 brand new recipes-including some of the most accessible and delicious he has ever produced-Kitchen Heaven is a cookbook for everyone who loves food, from the complete novice to the more accomplished cook.

As well as meat, fish, and vegetarian dishes, there are recipes for soups, dressings, sauces, puddings, and ""Things on Toast"". With practical insights and fascinating anecdotes, it also provides for the first time, a glimpse of what really drives this professional footballer-turned world renowned chef, who induces not only sheer terror in all those who work with him, but also fierce loyalty. That number is about to include you. Let Gordon into your kitchen-and you'll soon be cooking like never before.",main dishes; salads; vegetables; poultry; fish; pasta; soups; seafood; meat; desserts; dressings; sauces; condiments,"London, England",51.5072,0.1276,2005
item13,La Cucina: The Regional Cooking of Italy,image/jpeg,lacucina.jpg,The Italian Academy of Cuisine,"Fifty years ago, a group of Italian scholars gathered to discuss a problem: how to preserve traditional Italian cooking. They formed the Italian Academy of Cuisine to document classic recipes from every region. The academy’s more than seven thousand associates spread out to villages everywhere, interviewing grandmothers and farmers at their stoves, transcribing their recipes—many of which had never been documented before. This is the culmination of that research, an astounding feat—2,000 recipes that represent the patrimony of Italian country cooking. Each recipe is labeled with its region of origin, and it’s not just the ingredients but also the techniques that change with the geography. Sprinkled throughout are historical recipes that provide fascinating views into the folk culture of the past. There are no fancy flourishes here, and no shortcuts; this is true salt-of-the-earth cooking. The book is an excellent everyday source for easily achievable recipes, with such simple dishes as White Bean and Escarole Soup, Polenta with Tomato Sauce, and Chicken with Lemon and Capers. For ease of use there are four different indexes. La Cucina is an essential reference for every cook’s library.",appetizers; main dishes; side dishes; vegetables; salads; soups; pasta; pizza; poultry; fish; seafood; meat; games meat; desserts; sauces; Italian,"Milan, Italy",45.4685,9.1824,2009
